Title,URL,Publication Date,Section,publication_date
Jeffries Weighs How to Force Ukraine Aid Vote While Keeping Democrats United,https://www.nytimes.com/2024/02/26/us/politics/hakeem-jeffries-ukraine-israel-house.html,2024-02-26,U.S.,2024-02-26 16:57:11+00:00
"Ukraine, Gaza and the Long Shadow of German Guilt",https://www.nytimes.com/2024/02/20/books/review/out-of-the-darkness-frank-trentmann.html,2024-02-20,Books,2024-02-20 10:01:07+00:00
The NATO Welcoming Sweden Is Larger and More Determined,https://www.nytimes.com/2024/02/26/world/europe/nato-sweden-ukraine-russia.html,2024-02-26,World,2024-02-26 16:41:17+00:00
Venice Biennale Says It Will Disregard Petition to Ban Israel,https://www.nytimes.com/2024/02/28/arts/design/venice-biennale-israel-petition-disregarded.html,2024-02-28,Arts,2024-02-28 22:42:12+00:00
"Nikolai I. Ryzhkov, Soviet Premier Who Presided Over Economic Chaos, Dies at 94",https://www.nytimes.com/2024/02/28/obituaries/nikolai-ryzhkov-dead.html,2024-02-28,Obituaries,2024-02-28 10:36:07+00:00
Ukraine Aid Bill Faces Hurdles in the House Amid G.O.P. Opposition,https://www.nytimes.com/2024/02/13/us/politics/ukraine-aid-bill-house.html,2024-02-13,U.S.,2024-02-13 20:38:45+00:00
Here Are the Republicans Who Broke With Their Party to Back Ukraine Aid,https://www.nytimes.com/2024/02/12/us/politics/republican-defectors-ukraine-aid.html,2024-02-12,U.S.,2024-02-12 21:50:15+00:00
The Artist Whose Oct. 7 Series ‘Attracts Fire’,https://www.nytimes.com/2024/02/18/arts/design/zora-cherassky-jewish-museum-artist.html,2024-02-18,Arts,2024-02-18 18:43:43+00:00
Ukraine-Israel Aid Bill Clears Critical Hurdle in the Senate,https://www.nytimes.com/2024/02/11/us/republican-senators-ukraine-israel-bill.html,2024-02-11,U.S.,2024-02-11 10:01:26+00:00
"Senate Passes Aid to Ukraine, but Fate Is Uncertain in a Hostile House",https://www.nytimes.com/2024/02/12/us/politics/senate-ukraine-aid.html,2024-02-12,U.S.,2024-02-12 21:46:21+00:00
Biden Denounces Trump’s Support for Russian Attack on Allies as ‘Un-American’,https://www.nytimes.com/2024/02/13/us/politics/biden-republicans-ukraine-aid.html,2024-02-13,U.S.,2024-02-13 19:39:05+00:00
"The Isolationist G.O.P., Again",https://www.nytimes.com/2024/02/13/opinion/gop-senate-ukraine-aid.html,2024-02-14,Opinion,2024-02-14 00:00:13+00:00
Trump’s NATO Threat Reflects a Wider Shift on America’s Place in the World,https://www.nytimes.com/2024/02/15/us/politics/trump-nato-threat.html,2024-02-15,U.S.,2024-02-15 05:01:57+00:00
Ukraine and Israel Aid Bill Inches Ahead as Divided G.O.P. Demands Changes,https://www.nytimes.com/2024/02/08/us/politics/ukraine-israel-aid-bill-senate.html,2024-02-08,U.S.,2024-02-08 14:51:21+00:00
Here’s What’s in the Senate’s $118 Billion Ukraine and Border Deal,https://www.nytimes.com/2024/02/05/us/politics/senate-border-ukraine-deal.html,2024-02-05,U.S.,2024-02-05 10:03:33+00:00
Ukraine and Russia Exchange Hundreds of Prisoners of War,https://www.nytimes.com/2024/01/31/world/europe/ukraine-russia-prisoner-exchange.html,2024-01-31,World,2024-01-31 16:55:44+00:00
U.N. Court to Rule on Whether Ukraine Committed Genocide,https://www.nytimes.com/2024/02/02/world/europe/ukraine-un-court-genocide-russia.html,2024-02-02,World,2024-02-02 18:44:25+00:00
The G.O.P. Bumper Sticker: Trump First. Putin Second. America Third.,https://www.nytimes.com/2024/02/06/opinion/immigration-senate-house.html,2024-02-06,Opinion,2024-02-06 10:03:45+00:00
"Johnson Stumbles, Deepening Republican Disarray and His Own Challenges",https://www.nytimes.com/2024/02/07/us/politics/johnson-impeachment-israel-aid.html,2024-02-07,U.S.,2024-02-07 23:23:41+00:00
NATO Leaders Try to Pin Down U.S. on Ukraine Aid as Republicans Waver,https://www.nytimes.com/2023/11/28/world/europe/nato-leaders-ukraine-congress.html,2023-11-28,World,2023-11-28 15:32:01+00:00
Ukraine Searches for Answers on Russian Plane Crash,https://www.nytimes.com/2024/01/25/world/europe/ukraine-russia-plane-crash.html,2024-01-25,World,2024-01-25 12:33:21+00:00
Russian Military Plane Crashes Near Border With Ukraine,https://www.nytimes.com/video/world/europe/100000009280221/russia-plane-crash-belgorod.html,2024-01-24,World,2024-01-24 15:01:52+00:00
"Military Plane Crashes in Russia, Killing All Aboard, Moscow Says",https://www.nytimes.com/2024/01/24/world/europe/russia-military-plane-crash-ukraine.html,2024-01-24,World,2024-01-24 10:38:51+00:00
Could Israel Cost Biden the Election?,https://www.nytimes.com/2024/01/26/opinion/israel-gaza-ukraine-china.html,2024-01-26,Opinion,2024-01-26 10:01:16+00:00
A Titanic Geopolitical Struggle Is Underway,https://www.nytimes.com/2024/01/25/opinion/israel-gaza-war-ukraine.html,2024-01-25,Opinion,2024-01-25 10:01:57+00:00
Ukraine Remembers Popular Uprising That Foreshadowed War,https://www.nytimes.com/2023/11/21/world/europe/ukraine-maidan-revolution-anniversary.html,2023-11-21,World,2023-11-21 15:32:27+00:00
"War Is on the Agenda in Davos, but the Focus Is Elsewhere",https://www.nytimes.com/2024/01/18/business/ukraine-gaza-war-davos.html,2024-01-18,Business Day,2024-01-18 21:29:10+00:00
"Iran’s New Missile Fleet: Part Deterrent, Part Sales Pitch",https://www.nytimes.com/2024/01/18/world/middleeast/iran-missile-program.html,2024-01-18,World,2024-01-18 11:00:21+00:00
"For This Reporter, the War in Ukraine Is Also Personal",https://www.nytimes.com/2024/01/10/books/review/our-enemies-will-vanish-yaroslav-trofimov.html,2024-01-10,Books,2024-01-10 10:01:11+00:00
World Bank Warns of Energy Price Surge if Mideast War Spreads,https://www.nytimes.com/2024/01/09/business/world-bank-global-economic-prospects.html,2024-01-09,Business Day,2024-01-09 14:30:07+00:00
Russia and Ukraine Exchange Record Number of P.O.W.s,https://www.nytimes.com/2024/01/03/world/europe/ukraine-russia-prisoner-exchange.html,2024-01-03,World,2024-01-03 18:26:13+00:00
"From Lebanon to the Red Sea, a Broader Conflict With Iran Looms",https://www.nytimes.com/2024/01/07/us/politics/iran-us-israel-conflict.html,2024-01-07,U.S.,2024-01-07 21:02:38+00:00
Putin’s Drive to Rewrite History Snares a Retired Lithuanian Judge,https://www.nytimes.com/2024/01/04/world/europe/putin-russia-lithuania-judge.html,2024-01-04,World,2024-01-04 10:04:04+00:00
The World in Stories: 13 Favorite Dispatches From 2023,https://www.nytimes.com/2023/12/31/world/asia/favorite-nyt-dispatches-2023.html,2023-12-31,World,2023-12-31 05:01:27+00:00
Ukraine’s Stolen Children,https://www.nytimes.com/interactive/2023/12/26/world/europe/ukraine-war-children-russia.html,2023-12-27,World,2023-12-27 01:47:24+00:00
The Best Sentences of 2023,https://www.nytimes.com/2023/12/28/opinion/2023-journalism-writing-sentences.html,2023-12-28,Opinion,2023-12-28 17:00:04+00:00
"Two Wars, 50 Elections: The Economy Faces Rising Geopolitical Risks",https://www.nytimes.com/2023/12/24/business/economy/global-economic-risks-red-sea.html,2023-12-24,Business Day,2023-12-24 08:01:51+00:00
"A World Leader on Ukraine, the U.S. Is Now Isolated Over Gaza",https://www.nytimes.com/2023/12/22/us/politics/biden-israel-gaza-ukraine.html,2023-12-22,U.S.,2023-12-22 20:50:21+00:00
We’re Beginning to Learn How the War on Terror Shaped a Generation,https://www.nytimes.com/2023/12/21/opinion/gaza-war-terror-ukraine.html,2023-12-21,Opinion,2023-12-21 20:00:11+00:00
Congress Abandons Ukraine Aid Until Next Year as Border Talks Continue,https://www.nytimes.com/2023/12/19/us/politics/senate-ukraine-border.html,2023-12-19,U.S.,2023-12-19 23:04:51+00:00
We Forget Henry Kissinger’s Effectiveness at Our Peril,https://www.nytimes.com/2023/12/18/opinion/henry-kissinger-ukraine-israel.html,2023-12-18,Opinion,2023-12-18 10:01:58+00:00
2023 in Photos: A Weary World,https://www.nytimes.com/interactive/2023/world/year-in-pictures.html,2023-12-18,World,2023-12-18 19:05:14+00:00
"Schumer Delays Holiday Break, Pressing for Border Deal to Unlock Ukraine Aid",https://www.nytimes.com/2023/12/14/us/senate-holiday-border-deal-ukraine.html,2023-12-15,U.S.,2023-12-15 00:39:51+00:00
"Putin Visits China to Bolster Ties With ‘My Friend,’ Xi",https://www.nytimes.com/2023/10/16/world/asia/putin-china-xi.html,2023-10-17,World,2023-10-17 03:09:29+00:00
Full Transcript: Biden’s Speech on Israel-Hamas and Russia-Ukraine Wars,https://www.nytimes.com/2023/10/19/us/politics/transcript-biden-speech-israel-ukraine.html,2023-10-20,U.S.,2023-10-20 01:14:25+00:00
"In Soldiers’ Remains, Russia Plots a Way to Reconcile With France",https://www.nytimes.com/2023/12/09/world/europe/russia-france-world-war-i-soldiers.html,2023-12-09,World,2023-12-09 10:03:44+00:00
"Netanyahu and Putin Speak, and Offer Different Versions of What Was Said",https://www.nytimes.com/2023/12/10/world/middleeast/netanyahu-putin-russia-iran-gaza.html,2023-12-10,World,2023-12-10 16:49:57+00:00
Ukraine Opens War Crimes Inquiry Into Soldiers’ Deaths,https://www.nytimes.com/2023/12/05/world/europe/ukraine-russia-war-video-shooting.html,2023-12-05,World,2023-12-05 19:04:57+00:00
An Aid Package That Invests in American Security Goals,https://www.nytimes.com/2023/12/08/opinion/ukraine-aid-border-security.html,2023-12-08,Opinion,2023-12-08 13:34:39+00:00
Putin Makes Rare Visit to Mideast,https://www.nytimes.com/2023/12/06/world/europe/putin-saudi-arabia-visit.html,2023-12-06,World,2023-12-06 15:17:16+00:00
Democrats Clash Over Move to Add Asylum Changes to War Funding Bill,https://www.nytimes.com/2023/11/30/us/democrats-asylum-ukraine-israel.html,2023-11-30,U.S.,2023-11-30 20:05:05+00:00
Hamas and the Memory of the Holocaust,https://www.nytimes.com/2023/12/01/opinion/hamas-israel-holocaust-history.html,2023-12-01,Opinion,2023-12-01 21:20:10+00:00
"We Know War Is Awful, So Why Is It Making a Comeback?",https://www.nytimes.com/2023/11/27/opinion/war-israel-gaza-tigray.html,2023-11-27,Opinion,2023-11-27 20:00:02+00:00
Finding a Moral Center in This Era of War,https://www.nytimes.com/interactive/2023/11/26/magazine/phil-klay-interview.html,2023-11-26,Magazine,2023-11-26 10:01:28+00:00
Putin Bristles as Other Leaders Criticize Russia’s Aggression in Ukraine,https://www.nytimes.com/2023/11/22/world/europe/putin-ukraine-russia-war-g20.html,2023-11-22,World,2023-11-22 20:05:09+00:00
What to Read About the Russia-Ukraine War,https://www.nytimes.com/2022/03/04/world/australia/history-ukraine-russia-war-books.html,2022-03-04,World,2022-03-04 05:35:29+00:00
Inside Biden’s Reversal on Sending Long-Range Missiles to Ukraine,https://www.nytimes.com/2023/10/17/us/politics/biden-ukraine-atacms-weapons.html,2023-10-17,U.S.,2023-10-17 22:03:27+00:00
World Peace in 2024? The Olympics Has a Plan but Not Much Hope.,https://www.nytimes.com/2023/11/23/world/europe/olympics-truce-2024.html,2023-11-23,World,2023-11-23 10:02:57+00:00
Yellen Assures Europe That U.S. Will Provide More Funds for Ukraine,https://www.nytimes.com/2023/10/16/us/politics/yellen-ukraine-israel-aid.html,2023-10-16,U.S.,2023-10-16 16:28:48+00:00
"North Korea Shipped Arms to Russia for Use in Ukraine, U.S. Says",https://www.nytimes.com/2023/10/13/us/politics/north-korea-weapons-russia-ukraine.html,2023-10-13,U.S.,2023-10-13 19:23:52+00:00
"As A.I.-Controlled Killer Drones Become Reality, Nations Debate Limits",https://www.nytimes.com/2023/11/21/us/politics/ai-drones-war-law.html,2023-11-21,U.S.,2023-11-21 10:00:40+00:00
Leaders at the G20 summit urge an end to the Russia-Ukraine war.,https://www.nytimes.com/2022/11/14/world/europe/g20-summit-russia-ukraine-war.html,2022-11-15,World,2022-11-15 04:03:32+00:00
A Realist Take on How the Russia-Ukraine War Could End,https://www.nytimes.com/2022/03/18/opinion/ezra-klein-podcast-emma-ashford.html,2022-03-18,Opinion,2022-03-18 09:00:16+00:00
How Educators Around the World Are Teaching the Russia-Ukraine War,https://www.nytimes.com/2022/05/20/learning/lesson-plans/how-educators-around-the-world-are-teaching-the-russia-ukraine-war.html,2022-05-20,The Learning Network,2022-05-20 09:00:27+00:00
Russia Glorifies Its World War II Dead. He Tries to Give Them Decent Burials.,https://www.nytimes.com/2023/11/11/world/europe/russia-ww2-soldier-burials-ukraine.html,2023-11-11,World,2023-11-11 10:02:48+00:00
"House Speaker, Ukraine War, Border Wall: Trump’s Influence Reaches a Post-Presidency Peak",https://www.nytimes.com/2023/10/06/us/politics/trump-influence.html,2023-10-06,U.S.,2023-10-06 17:19:02+00:00
Opposition to Ukraine Aid Becomes a Litmus Test for the Right,https://www.nytimes.com/2023/10/05/us/politics/republicans-ukraine-aid.html,2023-10-05,U.S.,2023-10-05 20:10:34+00:00
"U.S. Aid to Ukraine, and When It Might Run Out, Explained",https://www.nytimes.com/2023/10/06/us/politics/ukraine-aid-congress.html,2023-10-06,U.S.,2023-10-06 16:38:07+00:00
Why Mike Johnson’s Speakership Does Not Bode Well for America,https://www.nytimes.com/2023/11/08/opinion/mike-johnson-house-speaker.html,2023-11-08,Opinion,2023-11-08 10:01:50+00:00
Biden Confronts the Limits of U.S. Leverage in Two Conflicts,https://www.nytimes.com/2023/11/06/us/politics/biden-israel-gaza-ukraine.html,2023-11-07,U.S.,2023-11-07 00:44:26+00:00
What Does the U.S. Space Force Actually Do?,https://www.nytimes.com/2023/11/08/magazine/space-force.html,2023-11-08,Magazine,2023-11-08 10:02:09+00:00
House Republicans Toil for a Spending Strategy With a Shutdown Close at Hand,https://www.nytimes.com/2023/11/07/us/politics/house-republicans-spending-shutdown.html,2023-11-07,U.S.,2023-11-07 21:17:33+00:00
"Putin’s Next Target: U.S. Support for Ukraine, Officials Say",https://www.nytimes.com/2023/10/02/us/politics/putin-ukraine-spy-united-states.html,2023-10-02,U.S.,2023-10-02 15:48:52+00:00
House Passes Aid Bill for Israel but Not for Ukraine,https://www.nytimes.com/2023/11/02/us/politics/house-aid-bill-israel.html,2023-11-02,U.S.,2023-11-02 19:49:21+00:00
The Laws of War Have Limits. What Does That Mean for the Hamas-Israel War?,https://www.nytimes.com/2023/11/02/world/middleeast/international-law-israel-hamas.html,2023-11-02,World,2023-11-02 23:41:41+00:00
The Two Things Worrying U.S. Military Officials About Israel and Hamas,https://www.nytimes.com/2023/11/02/opinion/israel-gaza-hamas.html,2023-11-02,Opinion,2023-11-02 04:01:23+00:00
"As Fighting Rages, Ukraine Takes Its Battle to the Diplomatic Arena",https://www.nytimes.com/2023/10/29/world/europe/ukraine-war-russia-peace-forum-malta.html,2023-10-29,World,2023-10-29 15:08:32+00:00
Mike Johnson Just Confirmed How Unserious He Is,https://www.nytimes.com/2023/11/01/opinion/mike-johnson-israel-ukraine.html,2023-11-01,Opinion,2023-11-01 09:03:53+00:00
Johnson’s Israel Aid Bill Sets Stage for a Clash Over Security Assistance,https://www.nytimes.com/2023/10/31/us/politics/israel-aid-republicans-mike-johnson.html,2023-10-31,U.S.,2023-10-31 20:01:09+00:00
Ukraine Aid in Doubt as Johnson Moves to Drop It From Israel Assistance Bill,https://www.nytimes.com/2023/10/27/us/ukraine-israel-aid-johnson.html,2023-10-27,U.S.,2023-10-27 19:43:33+00:00
New Evidence Found of Rape and Torture by Russian Forces in Ukraine,https://www.nytimes.com/2023/10/21/world/europe/russia-war-crimes-ukraine.html,2023-10-21,World,2023-10-21 13:35:59+00:00
Joe Biden Knows What He’s Doing,https://www.nytimes.com/2023/10/29/opinion/biden-israel-gaza-2024.html,2023-10-29,Opinion,2023-10-29 10:00:15+00:00
Money for Ukraine at Center of Senate Bid to Avert Shutdown,https://www.nytimes.com/2023/09/25/us/politics/senate-shutdown-ukraine.html,2023-09-25,U.S.,2023-09-25 19:50:51+00:00
DeSantis Says He Will ‘Reorient’ U.S. Foreign Policy to Counter China,https://www.nytimes.com/2023/10/27/us/politics/desantis-ukraine-china.html,2023-10-27,U.S.,2023-10-27 18:46:56+00:00
Developing World Sees Double Standard in West’s Actions in Gaza and Ukraine,https://www.nytimes.com/2023/10/23/us/ukraine-gaza-global-south-hypocrisy.html,2023-10-23,U.S.,2023-10-23 09:02:02+00:00
"As Violence Surges, Nations Seek U.S. Defense Pacts. Some Americans Are Wary.",https://www.nytimes.com/2023/10/26/us/politics/us-defense-alliances-israel-ukraine.html,2023-10-26,U.S.,2023-10-26 15:03:07+00:00
Johnson Faces the Same Spending Dilemmas That Plagued McCarthy,https://www.nytimes.com/2023/10/26/us/politics/mike-johnson-shutdown-ukraine-israel.html,2023-10-26,U.S.,2023-10-26 19:24:47+00:00
"Tim Scott, Who Supports Aid to Israel and Ukraine, Opposes a Package With Both",https://www.nytimes.com/2023/10/22/us/politics/tim-scott-israel-ukraine-aid.html,2023-10-22,U.S.,2023-10-22 18:08:02+00:00
Russians Who Moved to Israel Over One War Are in the Middle of Another One,https://www.nytimes.com/2023/10/21/world/middleeast/israel-hamas-war-russia-exiles.html,2023-10-21,World,2023-10-21 10:50:15+00:00
Zelensky’s Visit Reveals Strategy Divide Between Ukraine and U.S.,https://www.nytimes.com/2023/09/22/us/politics/zelensky-biden-ukraine-war-strategy.html,2023-09-22,U.S.,2023-09-22 18:35:19+00:00
"Ukraine, a Sniper Mission and the Myth of the ‘Good Kill’",https://www.nytimes.com/2023/10/21/world/europe/ukraine-russia-war-snipers.html,2023-10-21,World,2023-10-21 09:02:06+00:00
Three Weapons That Israel and Ukraine Both Need From the U.S.,https://www.nytimes.com/2023/10/22/us/politics/israel-ukraine-weapons.html,2023-10-22,U.S.,2023-10-22 09:00:58+00:00
"Americans, Weary of Foreign Conflicts, Face Another",https://www.nytimes.com/2023/10/21/us/united-states-israel-ukraine-war.html,2023-10-21,U.S.,2023-10-21 17:20:26+00:00
Biden Seeks to Tame Oil Prices if Mideast Conflict Sends Them Soaring,https://www.nytimes.com/2023/10/25/business/economy/biden-oil-prices-middle-east.html,2023-10-25,Business Day,2023-10-25 15:09:00+00:00
Biden Reaffirms Support for Israel but Calls for Protection of Civilians,https://www.nytimes.com/2023/10/25/us/politics/biden-albanese-australia-israel.html,2023-10-25,U.S.,2023-10-25 17:17:39+00:00
President Biden Reaffirms Support for Israel and Ukraine,https://www.nytimes.com/video/us/politics/100000009141800/biden-israel-ukraine-congress-budget.html,2023-10-20,U.S.,2023-10-20 02:22:00+00:00
Why We Should Fear China More Than Middle Eastern War,https://www.nytimes.com/2023/10/21/opinion/china-taiwan-war.html,2023-10-21,Opinion,2023-10-21 11:25:07+00:00
"Biden Requests $105 Billion Aid Package for Israel, Ukraine and Other Crises",https://www.nytimes.com/2023/10/20/us/politics/biden-aid-israel-ukraine-taiwan-border.html,2023-10-20,U.S.,2023-10-20 14:35:38+00:00
"Biden is expected to request $100 billion for Israel, Ukraine and other crises.",https://www.nytimes.com/2023/10/18/us/politics/biden-funds-israel-ukraine-taiwan.html,2023-10-19,U.S.,2023-10-19 00:30:08+00:00
Biden Lays Out Stakes for America as He Seeks Aid for Israel and Ukraine,https://www.nytimes.com/2023/10/19/us/politics/biden-speech-israel-ukraine.html,2023-10-19,U.S.,2023-10-19 09:04:27+00:00
"In Global Conflict Zones, Hospitals and Doctors Are No Longer Spared",https://www.nytimes.com/2023/10/21/health/gaza-ukraine-hospitals-doctors.html,2023-10-21,Health,2023-10-21 09:02:41+00:00
Biden’s Moment: A President Convinced of America’s Role in the World,https://www.nytimes.com/2023/10/19/us/politics/biden-israel-ukraine.html,2023-10-19,U.S.,2023-10-19 19:58:38+00:00
The Israel-Gaza War Means Hard Choices for Ukraine,https://www.nytimes.com/2023/10/14/opinion/israel-gaza-war-ukraine.html,2023-10-14,Opinion,2023-10-14 11:00:31+00:00
"In Washington Visit, Zelensky Tries to Shore Up Critical Support",https://www.nytimes.com/2023/09/21/us/politics/zelensky-washington-biden-visit.html,2023-09-21,U.S.,2023-09-21 09:01:05+00:00
Ukraine Worries That Prolonged War in Gaza May Dilute Global Support,https://www.nytimes.com/2023/10/15/world/europe/ukraine-gaza-worries-international-support.html,2023-10-15,World,2023-10-15 10:39:36+00:00
"As World’s Eyes Shift, Ukraine and Russia Look to Sway Opinions",https://www.nytimes.com/2023/10/12/world/europe/ukraine-russia-israel-hamas.html,2023-10-12,World,2023-10-12 14:25:40+00:00
David French: ‘House Republicans Need to Grow Up’,https://www.nytimes.com/2023/10/19/opinion/republican-house-speaker-ukraine-israel.html,2023-10-19,Opinion,2023-10-19 09:04:11+00:00
Biden administration seeks emergency aid package for both Israel and Ukraine.,https://www.nytimes.com/2023/10/15/world/middleeast/israel-ukraine-aid-biden-congress.html,2023-10-16,World,2023-10-16 00:57:12+00:00
New Global Divisions on View as Biden Goes to Israel and Putin to China,https://www.nytimes.com/2023/10/18/world/europe/biden-israel-putin-china.html,2023-10-18,World,2023-10-18 10:00:32+00:00
Middle East War Adds to Surge in International Arms Sales,https://www.nytimes.com/2023/10/17/us/politics/israel-gaza-global-arms-sales.html,2023-10-17,U.S.,2023-10-17 16:49:58+00:00
Has Support for Ukraine Peaked? Some Fear So.,https://www.nytimes.com/2023/10/14/world/europe/ukraine-russia-war-support-aid.html,2023-10-14,World,2023-10-14 09:01:33+00:00
Biden to Urge Nations to Protect and Nurture Democracy,https://www.nytimes.com/2023/09/19/us/politics/biden-united-nations-general-assembly.html,2023-09-19,U.S.,2023-09-19 04:01:12+00:00
Zelensky Says Gaza War Furthers Russian Aims,https://www.nytimes.com/2023/10/10/world/europe/zelensky-israel-gaza-russia.html,2023-10-10,World,2023-10-10 14:27:14+00:00
"At NATO, Zelensky Secures More Ukraine Aid as Allies Balance Support for Israel",https://www.nytimes.com/2023/10/11/world/europe/zelensky-visits-nato-surprise.html,2023-10-11,World,2023-10-11 06:57:48+00:00
Zelensky Compares Assault by Hamas on Israel to Moscow’s Invasion of Ukraine,https://www.nytimes.com/2023/10/09/world/europe/zelensky-ukraine-russia-israel.html,2023-10-09,World,2023-10-09 13:19:47+00:00
Russia Is Denied a Seat on the U.N. Human Rights Council,https://www.nytimes.com/2023/10/10/world/europe/russia-un-human-rights-council.html,2023-10-10,World,2023-10-10 16:06:31+00:00
U.S. Envoy to NATO Says Aid to Israel Won’t Come at Ukraine’s Expense,https://www.nytimes.com/2023/10/10/world/middleeast/israel-ukraine-aid-us.html,2023-10-10,World,2023-10-10 15:02:31+00:00
"Russia Overcomes Sanctions to Expand Missile Production, Officials Say",https://www.nytimes.com/2023/09/13/us/politics/russia-sanctions-missile-production.html,2023-09-13,U.S.,2023-09-13 04:01:11+00:00
Putin and Kim’s Embrace May Place Xi in a Bind,https://www.nytimes.com/2023/09/16/world/asia/china-putin-kim.html,2023-09-16,World,2023-09-16 04:01:10+00:00
"As Ukraine Aid Benefits Their Districts, Some House Republicans Oppose It",https://www.nytimes.com/2023/09/11/us/politics/ukraine-aid-republicans.html,2023-09-11,U.S.,2023-09-11 09:02:17+00:00
Putin Offers Muted Response to Attack on Israel. That Speaks Volumes.,https://www.nytimes.com/2023/10/10/world/europe/israel-hamas-russia-putin.html,2023-10-10,World,2023-10-10 09:30:12+00:00
Here’s What Can’t Get Done While Republicans Fight Over a Speaker,https://www.nytimes.com/2023/10/12/us/politics/speaker-house-republicans-israel-ukraine.html,2023-10-12,U.S.,2023-10-12 17:38:01+00:00
